date,btc_close,btc_volume,btc_high,btc_low
2025-03-31,82550.01,20569.13885,83943.08,81278.52
2025-04-01,85158.34,20190.39697,85579.46,82432.74
2025-04-02,82516.29,39931.457,88500.0,82320.0
2025-04-03,83213.09,27337.84135,83998.02,81211.24
2025-04-04,83889.87,32915.53976,84720.0,81659.0
2025-04-05,83537.99,9360.40468,84266.0,82379.95
2025-04-06,78430.0,27942.71436,83817.63,77153.83
2025-04-07,79163.24,78387.53089,81243.58,74508.0
2025-04-08,76322.42,35317.32063,80867.99,76239.9
2025-04-09,82615.22,75488.28772,83588.0,74620.0
2025-04-10,79607.3,33284.80718,82753.21,78464.36
2025-04-11,83423.84,34435.43797,84300.0,78969.58
2025-04-12,85276.9,18470.74437,85905.0,82792.95
2025-04-13,83760.0,24680.04181,86100.0,83034.23
2025-04-14,84591.58,28659.09348,85799.99,83678.0
2025-04-15,83643.99,20910.99528,86496.42,83600.0
2025-04-16,84030.38,20867.24519,85500.0,83111.64
2025-04-17,84947.91,13728.84772,85470.01,83736.26
2025-04-18,84474.69,6529.96315,85132.08,84303.96
2025-04-19,85077.01,9666.58153,85677.99,84364.45
2025-04-20,85179.24,8091.67725,85320.76,83949.52
2025-04-21,87516.23,31773.37262,88465.99,85144.76
2025-04-22,93442.99,43872.74705,93888.0,87076.03
2025-04-23,93691.08,27404.16808,94696.05,91935.41
2025-04-24,93980.47,19497.06071,94005.0,91660.01
2025-04-25,94638.68,27500.66648,95758.04,92855.96
2025-04-26,94628.0,9415.06875,95199.0,93870.69
2025-04-27,93749.3,11162.841,95369.0,93602.58
2025-04-28,95011.18,22157.53351,95630.0,92800.01
2025-04-29,94256.82,16955.3402,95461.53,93742.54
2025-04-30,94172.0,17661.2751,95228.45,92910.0
2025-05-01,96489.91,21380.45343,97424.02,94130.43
2025-05-02,96887.14,14905.74811,97895.68,96350.0
2025-05-03,95856.42,9723.34838,96935.67,95753.01
2025-05-04,94277.62,11036.38342,96304.48,94151.38
2025-05-05,94733.68,17251.18189,95199.0,93514.1
2025-05-06,96834.02,16122.64513,96920.65,93377.0
2025-05-07,97030.5,16644.83854,97732.0,95784.61
2025-05-08,103261.6,34962.02847,104145.76,96876.29
2025-05-09,102971.99,27617.39907,104361.3,102315.14
2025-05-10,104809.53,15324.78611,104984.57,102818.76
2025-05-11,104118.0,17987.12197,104972.0,103345.06
2025-05-12,102791.32,31272.77792,105819.45,100718.37
2025-05-13,104103.72,21253.42409,104976.25,101429.7
2025-05-14,103507.82,16452.9081,104356.95,102602.05
